codigo_nacional_farmaco_cd,codigo_descripcion,atc_farmaco_dispensado_cd,ddd_nomenclator_nm,ddd_por_envase,pvp_nomenclator_nm,precio_por_envase_nm
722040,ARIPIPRAZOL WELDING 15MG 28 COMPRIMIDOS EFG,N05AX12,15,28,0,0
720208,REAGILA 6MG 90 CAPSULAS DURAS,N05AX15,3,180,0,0
720213,REAGILA 3MG 90 CAPSULAS DURAS,N05AX15,3,90,0,0
720210,"REAGILA 4,5MG 90 CAPSULAS DURAS",N05AX15,3,135,0,0
550158,NOZINAN 4% 30ML GOTAS ORALES SOLUCION,N05AA02,300,4,3.65,3.65
018203,NEULEPTIL 40MG/ML 30ML 1 FRASCO SOLUCION ORAL,N05AC01,50,24,12.53,12.53
018399,HALDOL DECANOATE (MOVIANTO) 100MG/ML 1ML 1 AMPOLLA SOLUCION INYECTABLE,N05AD01,3.3,30.3030303030303,5.71,5.71
770693,GEODON 20MG/VIAL 1 VIAL+1 AMPOLLA POLVO+DISOLV SOLUCION INYECTABLE,N05AE04,40,0.5,0,0
720216,"REAGILA 1,5MG 90 CAPSULAS DURAS",N05AX15,3,45,0,0
560403,DOGMATIL 50MG/ML 2ML 6 AMPOLLAS SOLUCION INYECTABLE (ACOND),N05AL01,800,0.75,0,0
018548,TIAPRIDAL 50MG/ML 2ML 6 AMPOLLAS SOLUCION INYECTABLE,N05AL03,400,1.5,4.39,4.39
687020,QUETIAPINA TEVA-RATIO 50MG 10 COMPRIMIDOS LIBERACION PROLONGADA,N05AH04,400,1.25,0,0
019217,ZYPADHERA 405MG 1 VIAL POLVO Y DISOLVENTE SUSPENSION INYECTABLE,N05AH03,10,40.5,1092,1092
019194,ZYPADHERA 300MG 1 VIAL POLVO Y DISOLVENTE SUSPENSION INYECTABLE,N05AH03,10,30,1092,1092
762926,ABILIUM 15MG 14 CAPSULAS DURAS EFG,N05AX12,15,14,0,0
018475,DOGMATIL 50MG/ML 2ML 6 AMPOLLAS SOLUCION INYECTABLE,N05AL01,800,0.75,10.9,10.9
550463,"FLUPHENAZIN NEURAXPHARM D 12,5MG 5 AMPOLLAS 0,5ML SOLUCION INYEC DEPOT",N05AB02,1,62.5,38.48,38.48
722041,ARIPIPRAZOL WELDING 30MG 28 COMPRIMIDOS EFG,N05AX12,15,56,0,0
017786,NOZINAN 25MG 60 COMPRIMIDOS RECUBIERTOS,N05AA02,300,5,6.07,6.07
550380,DOGMATIL 50MG/ML 5ML 1 AMPOLLA SOLUCION INYECTABLE,N05AL01,800,0.3125,0,0
018412,LARGACTIL 40MG/ML 30ML 1 FRASCO GOTAS ORALES SOLUCION,N05AA01,300,4,7.8,7.8
571273,CLORPROMAZINA 5MG/ML 5ML 1 AMPOLLA SOLUCION INYECTABLE (FM),N05AA01,300,0.0833333333333333,0,0
670372,SERDOLECT 24MG 28 COMPRIMIDOS RECUBIERTOS PELICULA,N05AE03,16,42,0,0
550174,LARGACTIL 5MG/ML 5ML 5 AMPOLLAS SOLUCION INYECTABLE,N05AA01,100,1.25,1.05,1.05
550413,MODECATE 25MG 1 AMPOLLA 1ML SOLUCION INYECTABLE DEPOT,N05AB02,1,25,1.9,1.9
550424,FLUPHENAZIN NEURAXPHARM D 25MG 5 AMPOLLAS 1ML SOLUCION INYECT DEPOT,N05AB02,1,125,70.72,70.72
550267,DECENTAN 8MG 50 COMPRIMIDOS,N05AB03,30,13.3333333333333,1.34,1.34
550284,PERPHENAZIN NEURAXPHARM 8MG 50 COMPRIMIDOS,N05AB03,30,13.3333333333333,2.13,2.13
550310,PERPHENAZIN NEURAXPHARM 8MG 100 COMPRIMIDOS,N05AB03,30,26.6666666666667,4.43,4.43
550405,EGLONYL 50MG/ML 2ML 6 AMPOLLAS SOLUCION INYECTABLE,N05AL01,800,0.75,1.5,1.5
550362,LI-LIQUID 509MG/5ML 150ML SOLUCION ORAL,N05AN01,166.58,33.767559130748,36.57,36.57
550461,DOGMATIL 50MG 30 CAPSULAS,N05AL01,800,1.875,1.26,1.26
550626,NEULEPTIL 40MG/ML 30ML GOTAS SOLUCION ORAL,N05AC01,50,24,2.43,2.43
550548,TISERCIN 25MG 50 COMPRIMIDOS RECUBIERTOS PELICULA,N05AA02,300,4.16666666666667,5.04,5.04
701737,ABILIFY MAINTENA 300MG 3 VIALES POLV+DIS SUSP INYECT LIBERAC PROLONGAD,N05AX12,13.3,67.6691729323308,0,0
701738,ABILIFY MAINTENA 400MG 3 VIALES POLV+DIS SUSP INYEC LIBERACION PROLONG,N05AX12,13.3,90.2255639097744,0,0
550099,HALDOL DEPOT 100MG 5 AMPOLLAS SOLUCION INYECTABLE INTRAMUSCULAR,N05AD01,3.3,151.515151515152,89.77,89.77
769166,LEPONEX 25MG 40 COMPRIMIDOS,N05AH02,300,3.33333333333333,8.42,8.42
824640,SIQUALINE 1MG 50 GRAGEAS,N05AB02,10,5,1.58,1.58
824632,SIQUALINE 1MG 15 GRAGEAS,N05AB02,10,1.5,1.14,1.14
824624,"SIQUALINE 0,5MG 50 GRAGEAS",N05AB02,10,2.5,1.14,1.14
806828,PIPORTIL 10MG 50 COMPRIMIDOS,N05AC04,10,50,10.11,10.11
766956,HALOPERIDOL 5MG 5 AMPOLLAS 1ML INYECTABLE,N05AD01,8,3.125,1.36,1.36
989491,HALOPERIDOL ESTEVE 5MG 5 AMPOLLAS 1ML INYECTABLE,N05AD01,8,3.125,1.58,1.58
670414,SERDOLECT 8MG 28 COMPRIMIDOS RECUBIERTOS PELICULA,N05AE03,16,14,0,0
793174,NEORIDE 75MG 30 CAPSULAS,N05AL01,800,2.8125,2.25,2.25
808006,PLENUR 400MG 100 COMPRIMIDOS LIBERACION MODIFICADA,N05AN01,166.58,45.0234121743307,3.06,3.06
674580,ZYPREXA 10MG 7 COMPRIMIDOS RECUBIERTOS,N05AH03,10,7,40.72,40.72
762919,ABILIUM 5MG 14 CAPSULAS DURAS EFG,N05AX12,15,4.66666666666667,0,0
550292,DECENTAN 8MG 100 COMPRIMIDOS,N05AB03,30,26.6666666666667,0,0
014180,HALDOL DECANOATO 100MG 1 AMPOLLA 1ML SOLUCION INYECTABLE,N05AD01,3.3,30.3030303030303,4.15,4.15
013285,FLUPHENAZIN NEURAXPHARM D 25MG 5 AMPOLLAS 1ML SOLUCION INYECT DEPOT,N05AB02,1,125,81.12,81.12
013569,"FLUPHENAZIN NEURAXPHARM D 12,5MG 5 AMPOLLAS 0,5ML SOLUCION INYEC DEPOT",N05AB02,1,62.5,38.48,38.48
015666,HALOPERIDOL HCL 5MG/ML 1ML 5 AMPOLLAS SOLUCION INYECTABLE,N05AD01,8,3.125,20.42,20.42
015268,ZIPRASIDONA STADA 20MG 30 CAPSULAS DURAS,N05AE04,80,7.5,57.57,57.57
015252,ZIPRASIDONA GENERIS 20MG 56 CAPSULAS DURAS,N05AE04,80,14,30.26,30.26
720793,OLAZAX DISPERZI 5MG 56 COMPRIMIDOS BUCODISPERSABLES EFG,N05AH03,10,28,0,0
727991,SILESTO 50MG 10 COMPRIMIDOS LIBERACION PROLONGADA EFG,N05AH04,400,1.25,0,0
013582,EGLONYL 100MG 6 AMPOLLAS 2ML SOLUCION INYECTABLE,N05AL01,800,0.75,1.5,1.5
011826,LARGACTIL 5MG/ML 5ML 5 AMPOLLAS SOLUCION INYECTABLE,N05AA01,100,1.25,1.05,1.05
017793,NOZINAN (MANAPHARMA) 25MG 20 COMPRIMIDOS RECUBIERTOS,N05AA02,300,1.66666666666667,2.26,2.26
012995,NOZINAN 40MG/ML 120ML 1 FRASCO SOLUCION ORAL,N05AA02,300,16,2.44,2.44
014923,NOZINAN 40MG/ML 30ML 1 FRASCO GOTAS ORALES SOLUCION,N05AA02,300,4,5.7,5.7
