codigo_nacional_farmaco_cd,codigo_descripcion,atc_farmaco_dispensado_cd,ddd_nomenclator_nm,ddd_por_envase,pvp_nomenclator_nm,precio_por_envase_nm
653300,FLUOXETINA RATIOPHARM 20MG 28 CAPSULAS DURAS EFG,N06AB03,20,28,2.5,2.5
654752,CITALOPRAM GOIBELA 20MG 28 COMPRIMIDOS RECUBIERTOS PELIC EFG,N06AB04,20,28,5.12,5.12
664915,ESCITALOPRAM FARMABION 10MG 28 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,28,8.77,8.77
664916,ESCITALOPRAM FARMABION 10MG 56 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,56,17.55,17.55
664917,ESCITALOPRAM FARMABION 15MG 28 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,42,13.16,13.16
664919,ESCITALOPRAM FARMABION 20MG 28 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,56,17.55,17.55
664918,ESCITALOPRAM FARMABION 15MG 56 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,84,26.32,26.32
664921,ESCITALOPRAM FARMABION 20MG 56 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB10,10,112,35.08,35.08
600274,PAROXETINA CINFA 20MG 500 COMPRIMIDOS RECUBIERTOS PELIC EFG,N06AB05,20,500,98.56,98.56
602578,PAROXETINA PENSA 20MG 500 COMPRIMIDOS RECUBIERTOS PELIC EFG,N06AB05,20,500,98.56,98.56
602511,PAROXETINA MABO 20MG 500 COMPRIMIDOS EFG,N06AB05,20,500,98.56,98.56
603087,ARAPAXEL 20MG 500 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB05,20,500,98.56,98.56
603088,PAROXETINA ACYGEN 20MG 500 COMPRIMIDOS RECUBIERTOS PELIC EFG,N06AB05,20,500,122.34,122.34
603140,PAROXETINA NORMON 20MG 500 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB05,20,500,98.56,98.56
603005,PAROXETINA QUALIGEN 20MG 100 COMPRIMIDOS RECUBIERT PELIC EFG,N06AB05,20,100,19.72,19.72
607047,PAROXETINA BLUEPHARMA 20MG 500 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB05,20,500,70.31,70.31
600761,ASERIN 50MG 500 COMPRIMIDOS RECUBIERTOS PELICULA,N06AB06,50,500,62.94,62.94
