"año_cd","ccaa_cd","zbs_residencia_cd"
2013,"ES12","50204"
2013,"ES12","50303"
2013,"ES12","50304"
2013,"ES12","50305"
2013,"ES12","50306"
2013,"ES12","50307"
2013,"ES12","50308"
2013,"ES12","50309"
2013,"ES12","50310"
2013,"ES12","50415"
2013,"ES12","50416"
2013,"ES12","50418"
2013,"ES12","50420"
2013,"ES12","50421"
2013,"ES12","50422"
2013,"ES12","50423"
2013,"ES12","50506"
2013,"ES12","50507"
2013,"ES12","50508"
2013,"ES12","50509"
2013,"ES12","50510"
2013,"ES12","50511"
2013,"ES12","50512"
2013,"ES12","50513"
2013,"ES12","50514"
2013,"ES12","50604"
2013,"ES12","50605"
2013,"ES12","50606"
2013,"ES12","50607"
2013,"ES12","50608"
2013,"ES12","50609"
2013,"ES12","50610"
2014,"ES12","50103"
2014,"ES12","50104"
2014,"ES12","50105"
2014,"ES12","50106"
2014,"ES12","50107"
2014,"ES12","50108"
2014,"ES12","50109"
2014,"ES12","50307"
2014,"ES12","50308"
2014,"ES12","50309"
2014,"ES12","50310"
2014,"ES12","50405"
2014,"ES12","50406"
2014,"ES12","50407"
2014,"ES12","50408"
2014,"ES12","50409"
2014,"ES12","50410"
2014,"ES12","50411"
2014,"ES12","50412"
2014,"ES12","50413"
2014,"ES12","50414"
2014,"ES12","50415"
2014,"ES12","50416"
2014,"ES12","50418"
2014,"ES12","50420"
2014,"ES12","50421"
2014,"ES12","50422"
2014,"ES12","50423"
2014,"ES12","50509"
2014,"ES12","50510"
2014,"ES12","50511"
2014,"ES12","50512"
2014,"ES12","50513"
2014,"ES12","50514"
2014,"ES12","50601"
2014,"ES12","50602"
2014,"ES12","50603"
2014,"ES12","50604"
2014,"ES12","50605"
2014,"ES12","50606"
2014,"ES12","50607"
2014,"ES12","50608"
2014,"ES12","50609"
2014,"ES12","50610"
2015,"ES12","50303"
2015,"ES12","50304"
2015,"ES12","50305"
2015,"ES12","50306"
2015,"ES12","50307"
2015,"ES12","50308"
2015,"ES12","50309"
2015,"ES12","50310"
2015,"ES12","50416"
2015,"ES12","50418"
2015,"ES12","50420"
2015,"ES12","50421"
2015,"ES12","50422"
2015,"ES12","50505"
2015,"ES12","50506"
2015,"ES12","50507"
2015,"ES12","50508"
2015,"ES12","50509"
2015,"ES12","50510"
2015,"ES12","50511"
2022,"ES13","060101"
2022,"ES13","060102"
2022,"ES13","060103"
2022,"ES13","060104"
2022,"ES13","060105"
2022,"ES13","060106"
2022,"ES13","060107"
2022,"ES13","060108"
2022,"ES13","060109"
2022,"ES13","060110"
2022,"ES13","060111"
2022,"ES13","060112"
2022,"ES13","060113"
2022,"ES13","060114"
2022,"ES13","060115"
2022,"ES13","060116"
2022,"ES13","060117"
2022,"ES13","060118"
2022,"ES13","060119"
2022,"ES13","060120"
2022,"ES13","060121"
2022,"ES13","060122"
2022,"ES13","060123"
2022,"ES13","060124"
2022,"ES13","060125"
2022,"ES13","060126"
2022,"ES13","060127"
2022,"ES13","060128"
2022,"ES13","060129"
2022,"ES13","060201"
2022,"ES13","060202"
2022,"ES13","060204"
2022,"ES13","060205"
2022,"ES13","060207"
2022,"ES13","060208"
2022,"ES13","060209"
2022,"ES13","060210"
2022,"ES13","060211"
2022,"ES13","060212"
2022,"ES13","060213"
2022,"ES13","060214"
2022,"ES13","060215"
2022,"ES13","-"
2021,"ES13","060101"
2021,"ES13","060102"
2021,"ES13","060103"
2021,"ES13","060104"
2021,"ES13","060105"
2021,"ES13","060106"
2021,"ES13","060107"
2021,"ES13","060108"
2021,"ES13","060109"
2021,"ES13","060110"
2021,"ES13","060111"
2021,"ES13","060112"
2021,"ES13","060113"
2021,"ES13","060114"
2021,"ES13","060115"
2021,"ES13","060116"
2021,"ES13","060117"
2021,"ES13","060118"
2021,"ES13","060119"
2021,"ES13","060120"
2021,"ES13","060121"
2021,"ES13","060122"
2021,"ES13","060123"
2021,"ES13","060124"
2021,"ES13","060125"
2021,"ES13","060126"
2021,"ES13","060127"
2021,"ES13","060128"
2021,"ES13","060129"
2021,"ES13","060201"
2021,"ES13","060202"
2021,"ES13","060204"
2021,"ES13","060205"
2021,"ES13","060207"
2021,"ES13","060208"
2021,"ES13","060209"
2021,"ES13","060210"
2021,"ES13","060211"
2021,"ES13","060212"
2021,"ES13","060213"
2021,"ES13","060214"
2021,"ES13","060215"
2020,"ES13","060101"
2020,"ES13","060102"
2020,"ES13","060103"
2020,"ES13","060104"
2020,"ES13","060105"
2020,"ES13","060106"
2020,"ES13","060107"
2020,"ES13","060108"
2020,"ES13","060109"
2020,"ES13","060110"
2020,"ES13","060111"
2020,"ES13","060112"
2020,"ES13","060113"
2020,"ES13","060114"
2020,"ES13","060115"
2020,"ES13","060116"
2020,"ES13","060117"
2020,"ES13","060118"
2020,"ES13","060119"
2020,"ES13","060120"
2020,"ES13","060121"
2020,"ES13","060122"
2020,"ES13","060123"
2020,"ES13","060124"
2020,"ES13","060125"
2020,"ES13","060126"
2020,"ES13","060127"
2020,"ES13","060128"
2020,"ES13","060129"
2020,"ES13","060201"
2020,"ES13","060202"
2020,"ES13","060204"
2020,"ES13","060205"
2020,"ES13","060207"
2020,"ES13","060208"
2020,"ES13","060209"
2020,"ES13","060210"
2020,"ES13","060211"
2020,"ES13","060212"
2020,"ES13","060213"
2020,"ES13","060214"
2020,"ES13","060215"
2019,"ES13","060101"
2019,"ES13","060102"
2019,"ES13","060103"
2019,"ES13","060104"
2019,"ES13","060105"
2019,"ES13","060106"
2019,"ES13","060107"
2019,"ES13","060108"
