"año_cd"|"grupo_edad_cd"|"sexo_cd"|"n_poblacion"
2019|13|1|1349065
2020|13|1|1405222
2021|13|1|1451756
2022|13|1|1491752
2017|13|2|1350261
2018|13|2|1392050
2019|13|2|1441168
2020|13|2|1498098
2021|13|2|1545667
2022|13|2|1586847
2017|14|1|1117461
2018|14|1|1136840
2019|14|1|1138718
2020|14|1|1150536
2021|14|1|1177195
2022|14|1|1208377
2017|14|2|1235933
2018|14|2|1254119
2019|14|2|1254094
2020|14|2|1267446
2021|14|2|1297080
2022|14|2|1332674
2017|15|1|939264
2018|15|1|972656
2019|15|1|1001316
2020|15|1|1018312
2021|15|1|1013656
2022|15|1|1026607
2017|15|2|1097999
2018|15|2|1137416
2019|15|2|1170088
2020|15|2|1189394
2021|15|2|1181838
2022|15|2|1194500
2017|16|1|663283
2018|16|1|669209
2019|16|1|712699
2020|16|1|772279
2021|16|1|780950
2022|16|1|812722
2017|16|2|853247
2018|16|2|852818
2019|16|2|901858
2020|16|2|971994
2021|16|2|982643
2022|16|2|1024600
2017|17|1|577385
2018|17|1|567931
2019|17|1|545055
2020|17|1|512696
2021|17|1|524437
2022|17|1|513819
2017|17|2|859680
2018|17|2|842680
2019|17|2|806139
2020|17|2|757775
2021|17|2|767234
2022|17|2|740566
2017|18|1|463238
2018|18|1|484979
2019|18|1|505631
2020|18|1|525062
2021|18|1|527965
2022|18|1|541165
2017|18|2|938688
2018|18|2|971087
2019|18|2|1002790
2020|18|2|1033537
2021|18|2|1038200
2022|18|2|1064074
2023|1|1|1826506
2024|1|1|1784578
2023|2|1|2274860
2024|2|1|2247810
2023|3|1|2593434
2024|3|1|2551802
2023|4|1|2630962
2024|4|1|2719716
2023|5|1|2565974
2024|5|1|2666646
2023|6|1|2605844
2024|6|1|2663772
2023|7|1|2809106
2024|7|1|2856056
2023|8|1|3064140
2024|8|1|3049748
2023|9|1|3739778
2024|9|1|3626438
2023|10|1|4081548
2024|10|1|4118422
2023|11|1|3790718
2024|11|1|3859434
2023|12|1|3517960
2024|12|1|3578692
2023|13|1|3051936
2024|13|1|3126954
2023|14|1|2492824
2024|14|1|2585708
2023|15|1|2098210
2024|15|1|2104244
2023|16|1|1689658
2024|16|1|1743206
2023|17|1|1045890
2024|17|1|1121274
2023|18|1|1081720
2024|18|1|1078824
2023|1|2|1728140
2024|1|2|1689514
2023|2|2|2145422
2024|2|2|2121946
2023|3|2|2439622
2024|3|2|2400990
2023|4|2|2471102
2024|4|2|2546102
2023|5|2|2415982
2024|5|2|2514250
2023|6|2|2518342
2024|6|2|2560968
2023|7|2|2767712
2024|7|2|2798298
2023|8|2|3084128
2024|8|2|3065298
2023|9|2|3714254
2024|9|2|3624734
2023|10|2|4005388
2024|10|2|4056370
2023|11|2|3786614
2024|11|2|3851084
2023|12|2|3625680
2024|12|2|3686558
2023|13|2|3244140
2024|13|2|3321156
2023|14|2|2755706
2024|14|2|2857918
2023|15|2|2434722
2024|15|2|2437550
2023|16|2|2129238
2024|16|2|2194054
2023|17|2|1486692
2024|17|2|1579978
2023|18|2|2119680
2024|18|2|2110970
